Cluster ID	Status	Cluster name	Size	Cluster members	Organisms	Length	Identity
UniRef50_A0A0A1I6E7	partially reviewed	Cluster: Antimicrobial peptide AcrAP1	16	A0A0A1I6E7; A9NJH6; A9NJH7; L7X0Y5; A0A0A1I6N9; E4VP60; Q718F4; Q2M591; T1DEK4; C7B247; T1DMT0; P0CI90; D9U2B8; T1DEL7; B9UIY3; P0CI89	Androctonus crassicauda (Arabian fat-tailed scorpion); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Isometroides vescus; Isometrus maculatus (Lesser brown scorpion); Lychas buchari; Lychas mucronatus (Chinese swimming scorpion)	74	50%
UniRef50_A0F0C2	partially reviewed	Cluster: Mesotoxin-1	7	A0F0C2; V9P3H3; V9P3R2; V9P462; V9P3R8; V9P3B8; B8XH02	Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Buthus occitanus israelis (Common yellow scorpion)	86	50%
UniRef50_A0FKN6	reviewed	Cluster: Astacin-like metalloprotease toxin 1	1	A0FKN6	Loxosceles intermedia (Brown spider)	264	50%
UniRef50_A0S865	partially reviewed	Cluster: Irditoxin subunit B	45	A0S865; A0A0B8RVB2; A0A0B8RZX5; A0A0B8RS42; A0A0B8RS39; A0A0B8RVB7; A0A0B8RYX5; A7X3U0; Q06ZW0; A0A0B8RS22; A0A0B8RSY0; A0A0B8RVA3; A0A0B8RS19; A0A0B8RSX8; A0A0B8RVA5; A0A0B8RZX1; A0A0B8RYW8; A0A0B8RS48; A0A0B8RZY0; A0A0B8RZX9; A0A0B8RYY9; A0A0B8RSZ3; A0A0B8RVC5; A0A0B8RZW9; A0A0B8RVA2; A0A0B8RV99; A0A0B8RYW4; A0A0B8RYW2; A7X3S0; A7X3V0; A0A0B8RSZ1; A0A0B8RSZ0; A0A0B8RYY3; A0A0B8RS43; A0S864; A0A0B8RS45; A0A0B8RYY0; A0A0B8RYY5; A0A0B8RZX8; A0A0B8RZX7; A0A0B8RZX6; A0A0B8RVB9; A0A0B8RS46; A0A0B8RZX0; A7X3S2	Boiga irregularis (Brown tree snake); Dispholidus typus (Boomslang) (Bucephalus typus); Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake); Trimorphodon biscutatus (Western lyre snake); Telescopus dhara (Egyptian catsnake)	111	50%
UniRef50_A0SPI0	partially reviewed	Cluster: Mastoparan-like peptide 12c	14	A0SPI0; S4S3F3; P04205; P0C1Q7; S4S3G3; S4S2C7; P17238; A0A076VES2; P21654; Q0R4F6; P0C1M4; P01515; S4S3F6; S4S3F8	Vespa magnifica (Hornet); Vespa mandarinia (Asian giant hornet); Vespa tropica (Greater banded hornet) (Sphex tropica); Vespa ducalis; Vespa affinis (Lesser banded hornet); Vespa orientalis (Oriental hornet); Vespa basalis (Hornet); Vespa xanthoptera (Japanese yellow hornet) (Vespa simillima xanthoptera); Vespa velutina flavitarsus; Vespa analis (Yellow-vented hornet)	40	50%
UniRef50_A0SPI1	partially reviewed	Cluster: Vespid chemotactic peptide 5h	3	A0SPI1; P17232; D1MEJ3	Vespa magnifica (Hornet); Vespa mandarinia (Asian giant hornet); Eumenes pomiformis	65	50%
UniRef50_A0ZSK3	partially reviewed	Cluster: Neoverrucotoxin subunit alpha	9	A0ZSK3; A0A068BET6; A0A068BGX9; L8AY32; L8AX89; Q98989; A0A068BIV4; A0A068BD77; A0A0F6N0C3	Synanceia verrucosa (Reef stonefish); Sebastiscus marmoratus (false kelpfish); Dendrochirus zebra (Zebra turkeyfish) (Pterois zebra); Hypodytes rubripinnis; Inimicus japonicus (devil stinger); Synanceia horrida (Estuarine stonefish) (Scorpaena horrida); Sebastapistes strongia (barchin scorpionfish); Scorpaenopsis oxycephala (tassled scorpionfish); Echiichthys vipera (lesser weever)	703	50%
UniRef50_A1BQQ5	reviewed	Cluster: Cysteine-rich venom protein Mr30	2	A1BQQ5; Q7YT83	Conus marmoreus (Marble cone); Conus textile (Cloth-of-gold cone)	289	50%
UniRef50_A1X8C2	partially reviewed	Cluster: Alpha-conotoxin-like Lp1.8	7	A1X8C2; P0C8V0; A0A068B2W8; M9PN11; M9PMU0; P0C1W4; S4UJZ7	Conus leopardus (Leopard cone); Conus pulicarius (Flea-bite cone); Conus distans (Distant cone); Conus striatus (Striated cone)	64	50%
UniRef50_A1X8D8	partially reviewed	Cluster: Alpha-conotoxin-like Pu1.2 (Fragment)	11	A1X8D8; H9N3P1; H9N3T1; H9N3X6; H9N3T0; H9N3W9; H9N3W6; H9N3W0; H9N3V8; H9N3W7; H9N3W8	Conus pulicarius (Flea-bite cone); Conus diadema (Diadem cone); Conus lividus (Livid cone); Conus sanguinolentus; Conus quercinus (Oak cone)	41	50%
UniRef50_A1X8D9	reviewed	Cluster: Alpha-conotoxin-like Pu1.3 (Fragment)	1	A1X8D9	Conus pulicarius (Flea-bite cone)	36	50%
